Refseq_protID_human,Refseq_protID_Phha,gene_symbol_Phha,description_Phha,gene_symbol_human,description_human,,
NP_002112,XP_045690854.1,LOC123816129,LOW QUALITY PROTEIN: HLA class II histocompatibility antigen%2C DP beta 1 chain-like,HLA-DPB1,major histocompatibility complex, class II, DP beta 1
NP_002160,XP_045696431.1,LOC123819865,interferon alpha-4-like,IFNA5,interferon alpha 5,,
NP_002167,XP_045696814.1,LOC123820149,interferon beta-like,IFNB1,interferon beta 1,,
NP_002168,XP_045696672.1,LOC123820037,interferon omega-2-like,IFNW1,interferon omega 1,,
NP_002249,XP_045695729.1,LOC123819422,killer cell lectin-like receptor subfamily F member 2,KLRB1,killer cell lectin like receptor B1,,
NP_002268,XP_045692700.1,LOC123817189,keratin%2C type I cuticular Ha1,KRT31,keratin 31,,
NP_002270,XP_045692626.1,LOC123817144,keratin%2C type I cuticular Ha3-I-like,KRT33B,keratin 33B,,
NP_002273,XP_045685293.1,LOC123812549,keratin%2C type II microfibrillar%2C component 7C,KRT83,keratin 83,,
NP_002274,XP_045685247.1,LOC123812497,keratin%2C type II cuticular Hb5,KRT85,keratin 85,,
NP_002278,XP_045673387.1,LOC123804988,leukocyte-associated immunoglobulin-like receptor 1,LAIR1,leukocyte associated immunoglobulin like receptor 1,,
NP_002283,XP_045712920.1,LOC123830578,laminin subunit beta-2,LAMB2,laminin subunit beta 2,,
NP_002299,XP_045692900.1,LOC123817310,galectin-9-like isoform X2,LGALS9,galectin 9,,
NP_002329,XP_045707305.1,LOC123827056,limbic system-associated membrane protein isoform X2,LSAMP,limbic system associated membrane protein,,
NP_002338,XP_045717279.1,LOC123833195,lymphocyte antigen 6H,LY6H,lymphocyte antigen 6 family member H,,
NP_002340,XP_045678158.1,LOC123807994,lymphocyte antigen 75 isoform X1,LY75,lymphocyte antigen 75,,
NP_002358,XP_045711799.1,LOC123829922,melanoma-associated antigen B2-like,MAGEB4,MAGE family member B4,,
NP_002402,XP_045710672.1,LOC123829194,mammaglobin-A-like,SCGB2A2,secretoglobin family 2A member 2,,
NP_002413,XP_045674095.1,LOC123805510,stromelysin-1-like,MMP3,matrix metallopeptidase 3,,
NP_002442,XP_045696269.1,LOC123819766,S-methyl-5'-thioadenosine phosphorylase,MTAP,methylthioadenosine phosphorylase,,
NP_002461,XP_045680126.1,LOC123809217,myosin-3,MYH3,myosin heavy chain 3,,
NP_002463,XP_045680133.1,LOC123809225,myosin-8,MYH8,myosin heavy chain 8,,
NP_002510,XP_045695268.1,LOC123818987,protein NPAT,NPAT,nuclear protein, coactivator of histone transcription,
NP_002541,XP_045680462.1,LOC123809369,olfactory receptor 3A1,OR3A1,olfactory receptor family 3 subfamily A member 1,,
NP_002610,XP_045713960.1,LOC123831210,platelet factor 4-like,PF4,platelet factor 4,,
NP_002618,XP_045676165.1,LOC123806827,ATP-dependent 6-phosphofructokinase%2C platelet type,PFKP,phosphofructokinase, platelet,
NP_002643,XP_045713571.1,LOC123830990,prolactin-inducible protein,PIP,prolactin induced protein,,
NP_002695,XP_045713959.1,LOC123831209,platelet basic protein,PPBP,pro-platelet basic protein,,
NP_002716,XP_045697460.1,LOC123820641,prolargin,PRELP,proline and arginine rich end leucine rich repeat protein,,
NP_002717,XP_045699451.1,LOC123821769,prolyl endopeptidase,PREP,prolyl endopeptidase,,
NP_002760,XP_045713541.1,LOC123830965,anionic trypsin,PRSS1,serine protease 1,,
NP_002855,XP_045695717.1,LOC123819415,pregnancy zone protein,PZP,PZP alpha-2-macroglobulin like,,
NP_002952,XP_045672907.1,LOC123804591,protein S100-A4,S100A4,S100 calcium binding protein A4,,
NP_002954,XP_045673097.1,LOC123804719,protein S100-A7-like,S100A7,S100 calcium binding protein A7,,
NP_002954,XP_045673114.1,LOC123804732,protein S100-A7-like,S100A7,S100 calcium binding protein A7,,
NP_002975,XP_045693017.1,LOC123817384,C-C motif chemokine 4,CCL4,C-C motif chemokine ligand 4,,
NP_002986,XP_045694703.1,LOC123818506,lymphotactin-like,XCL1,X-C motif chemokine ligand 1,,
NP_003055,XP_045689421.1,LOC123815220,antileukoproteinase-like,SLPI,secretory leukocyte peptidase inhibitor,,
NP_003158,XP_045686635.1,LOC123813613,LOW QUALITY PROTEIN: sulfotransferase 2A1-like,SULT2A1,sulfotransferase family 2A member 1,,
NP_003170,XP_045716644.1,LOC123832838,synaptophysin,SYP,synaptophysin,,
NP_003181,XP_045690543.1,LOC123815880,tapasin,TAPBP,TAP binding protein,,
NP_003242,XP_045674201.1,LOC123805582,thyroid hormone-inducible hepatic protein,THRSP,thyroid hormone responsive,,
NP_003357,XP_045705012.1,LOC123825550,cytochrome b-c1 complex subunit 2%2C mitochondrial,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,,
NP_003372,XP_045699559.1,LOC123821902,VIP peptides-like,VIP,vasoactive intestinal peptide,,
NP_003408,XP_045706527.1,LOC123826581,zinc finger protein 264-like isoform X1,ZNF264,zinc finger protein 264,,
NP_003426,XP_045705855.1,LOC123826076,zinc finger protein 134-like,ZNF134,zinc finger protein 134,,
NP_003500,XP_045672714.1,LOC123804459,histone H2A type 1,H2AC13,H2A clustered histone 13,,
NP_003500,XP_045673231.1,LOC123804796,histone H2A type 1,H2AC13,H2A clustered histone 13,,
NP_003500,XP_045673232.1,LOC123804797,histone H2A type 1,H2AC13,H2A clustered histone 13,,
NP_003500,XP_045673235.1,LOC123804799,histone H2A type 1,H2AC13,H2A clustered histone 13,,
NP_003500,XP_045706631.1,LOC123826645,histone H2A type 1,H2AC13,H2A clustered histone 13,,
NP_003500,XP_045706630.1,LOC123826644,histone H2A type 1,H2AC13,H2A clustered histone 13,,
NP_003503,XP_045673234.1,LOC123804798,histone H2A type 1,H2AC6,H2A clustered histone 6,,
NP_003508,XP_045672809.1,LOC123804507,histone H2A type 2-C,H2AC20,H2A clustered histone 20,,
NP_003519,XP_045672581.1,LOC123804382,histone H2B type 2-E,H2BC21,H2B clustered histone 21,,
NP_003519,XP_045672582.1,LOC123804383,histone H2B type 2-E,H2BC21,H2B clustered histone 21,,
NP_003519,XP_045673113.1,LOC123804731,histone H2B type 2-E,H2BC21,H2B clustered histone 21,,
NP_003544,XP_045680418.1,LOC123809345,olfactory receptor-like protein DTMT,OR1E1,olfactory receptor family 1 subfamily E member 1,,
NP_003546,XP_045683262.1,LOC123811358,olfactory receptor 1G1-like,OR1G1,olfactory receptor family 1 subfamily G member 1,,
NP_003552,XP_045675282.1,LOC123806278,group 10 secretory phospholipase A2-like,PLA2G10,phospholipase A2 group X,,
NP_003604,XP_045679530.1,LOC123808747,cartilage intermediate layer protein 1,CILP,cartilage intermediate layer protein,,
NP_003664,XP_045692677.1,LOC123817169,telethonin,TCAP,titin-cap,,
NP_003687,XP_045692201.1,LOC123816966,olfactory receptor 226,OR6A2,olfactory receptor family 6 subfamily A member 2,,
NP_003688,XP_045704376.1,LOC123825022,olfactory receptor 5F1-like,OR5F1,olfactory receptor family 5 subfamily F member 1,,
NP_003691,XP_045692177.1,LOC123816954,olfactory receptor 2D2-like,OR2D2,olfactory receptor family 2 subfamily D member 2,,
NP_003699,XP_045685549.1,LOC123812755,LOW QUALITY PROTEIN: retinol dehydrogenase 16-like,RDH16,retinol dehydrogenase 16,,
NP_003761,XP_045692531.1,LOC123817103,keratin%2C type I cuticular Ha7-like,KRT37,keratin 37,,
NP_003765,XP_045686371.1,LOC123813419,polypeptide N-acetylgalactosaminyltransferase 4,GALNT4,polypeptide N-acetylgalactosaminyltransferase 4,,
NP_003804,XP_045677910.1,LOC123807899,disintegrin and metalloproteinase domain-containing protein 21-like,ADAM21,ADAM metallopeptidase domain 21,,
NP_003821,XP_045712276.1,LOC123830265,sialic acid-binding Ig-like lectin 5,SIGLEC5,sialic acid binding Ig like lectin 5,,
NP_003881,XP_045702795.1,LOC123823818,IgGFc-binding protein isoform X1,FCGBP,Fc gamma binding protein,,
NP_003897,XP_045708470.1,LOC123828013,germinal-center associated nuclear protein,MCM3AP,minichromosome maintenance complex component 3 associated protein,,
NP_003968,XP_045710985.1,LOC123829378,AH receptor-interacting protein isoform X1,AIP,aryl hydrocarbon receptor interacting protein,,
NP_004061,XP_045715853.1,LOC123832260,chloride channel protein ClC-Ka isoform X1,CLCNKA,chloride voltage-gated channel Ka,,
NP_004065,XP_045711158.1,LOC123829465,cytochrome c oxidase subunit 8A%2C mitochondrial,COX8A,cytochrome c oxidase subunit 8A,,
NP_004114,XP_045692692.1,LOC123817178,gastric inhibitory polypeptide,GIP,gastric inhibitory polypeptide,,
NP_004122,XP_045697108.1,LOC123820443,granzyme H-like,GZMB,granzyme B,,
NP_004130,XP_045689533.1,LOC123815303,lipopolysaccharide-binding protein-like,LBP,lipopolysaccharide binding protein,,
NP_004137,XP_045711526.1,LOC123829684,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7-like,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,,
NP_004183,XP_045711862.1,LOC123829990,LOW QUALITY PROTEIN: probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,ASMTL,acetylserotonin O-methyltransferase like,,
NP_004225,XP_045701067.1,LOC123822934,zinc finger protein 235-like isoform X1,ZNF235,zinc finger protein 235,,
NP_004235,XP_045695639.1,LOC123819351,scavenger receptor cysteine-rich type 1 protein M130-like isoform X2,CD163,CD163 molecule,,
NP_004246,XP_045704519.1,LOC123825217,cytochrome c oxidase subunit 5A%2C mitochondrial,COX5A,cytochrome c oxidase subunit 5A,,
NP_004330,XP_045708609.1,LOC123828077,pituitary tumor-transforming gene 1 protein-interacting protein,PTTG1IP,PTTG1 interacting protein,,
NP_004336,XP_045712867.1,LOC123830543,cathelicidin-6-like,CAMP,cathelicidin antimicrobial peptide,,
NP_004364,XP_045699505.1,LOC123821799,cytochrome c oxidase subunit 6A1%2C mitochondrial,COX6A1,cytochrome c oxidase subunit 6A1,,
NP_004365,XP_045683312.1,LOC123811371,cytochrome c oxidase subunit 6C,COX6C,cytochrome c oxidase subunit 6C,,
NP_004365,XP_045683325.1,LOC123811375,cytochrome c oxidase subunit 6C,COX6C,cytochrome c oxidase subunit 6C,,
NP_004365,XP_045683220.1,LOC123811244,cytochrome c oxidase subunit 6C,COX6C,cytochrome c oxidase subunit 6C,,
NP_004365,XP_045717129.1,LOC123833100,cytochrome c oxidase subunit 6C,COX6C,cytochrome c oxidase subunit 6C,,
NP_004366,XP_045691705.1,LOC123816675,cytochrome c oxidase assembly protein COX11%2C mitochondrial,COX11,cytochrome c oxidase copper chaperone COX11,,
NP_004371,XP_045676520.1,LOC123807079,CREB-binding protein isoform X3,CREBBP,CREB binding protein,,
NP_004382,XP_045713124.1,LOC123830673,5-beta-cholestane-3-alpha%2C7-alpha-diol 12-alpha-hydroxylase isoform X1,CYP8B1,cytochrome P450 family 8 subfamily B member 1,,
NP_004385,XP_045703902.1,LOC123824660,death-associated protein 1,DAP,death associated protein,,
NP_004451,XP_045717377.1,LOC123833266,LOW QUALITY PROTEIN: prolyl endopeptidase FAP,FAP,fibroblast activation protein alpha,,
NP_004499,XP_045676360.1,LOC123806931,isopentenyl-diphosphate Delta-isomerase 1 isoform X1,IDI1,isopentenyl-diphosphate delta isomerase 1,,
NP_004536,XP_045687625.1,LOC123814093,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,,
NP_004576,XP_045710701.1,LOC123829226,LOW QUALITY PROTEIN: phospholipase A and acyltransferase 4-like,PLAAT4,phospholipase A and acyltransferase 4,,
NP_004580,XP_045680606.1,LOC123809446,protein SCO1 homolog%2C mitochondrial,SCO1,synthesis of cytochrome C oxidase 1,,
NP_004583,XP_045697618.1,LOC123820726,splicing factor%2C suppressor of white-apricot homolog isoform X1,SFSWAP,splicing factor SWAP,,
NP_004608,XP_045707621.1,LOC123827225,transmembrane 4 L6 family member 4,TM4SF4,transmembrane 4 L six family member 4,,
NP_004657,XP_045699143.1,LOC123821617,vascular non-inflammatory molecule 3-like,VNN1,vanin 1,,
NP_004684,XP_045685110.1,LOC123812434,keratin%2C type II cytoskeletal 75,KRT75,keratin 75,,
NP_004811,XP_045717264.1,LOC123833187,cytochrome P450 7B1,CYP7B1,cytochrome P450 family 7 subfamily B member 1,,
NP_004891,XP_045690727.1,LOC123816049,DNA dC->dU-editing enzyme APOBEC-3G-like,APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,,
NP_004942,XP_045677196.1,LOC123807423,G-protein coupled receptor 183,GPR183,G protein-coupled receptor 183,,
NP_004958,XP_045676293.1,LOC123806889,bone sialoprotein 2,IBSP,integrin binding sialoprotein,,
NP_005031,XP_045674141.1,LOC123805545,lysosomal Pro-X carboxypeptidase,PRCP,prolylcarboxypeptidase,,
NP_005037,XP_045712384.1,LOC123830323,kallikrein-7-like,KLK7,kallikrein related peptidase 7,,
NP_005065,XP_045672871.1,LOC123804548,sodium-dependent phosphate transport protein 1-like isoform X2,SLC17A1,solute carrier family 17 member 1,,
NP_005106,XP_045704727.1,LOC123825396,LOW QUALITY PROTEIN: major vault protein,MVP,major vault protein,,
NP_005192,XP_045712741.1,LOC123830485,C-C chemokine receptor type 8-like,CCR8,C-C motif chemokine receptor 8,,
NP_005196,XP_045705082.1,LOC123825588,cytochrome c oxidase subunit 6A2%2C mitochondrial,COX6A2,cytochrome c oxidase subunit 6A2,,
NP_005201,XP_045710409.1,LOC123828956,gamma-crystallin B,CRYGB,crystallin gamma B,,
NP_005309,XP_045690821.1,LOC123816110,histone H1.0,H1-0,H1.0 linker histone,,
NP_005312,XP_045673226.1,LOC123804791,histone H1.4-like,H1-4,H1.4 linker histone, cluster member,
NP_005321,XP_045695435.1,LOC123819186,hemoglobin subunit epsilon,HBE1,hemoglobin subunit epsilon 1,,
NP_005336,XP_045681979.1,LOC123810362,heat shock 70 kDa protein 1,HSPA1A,heat shock protein family A (Hsp70) member 1A,,
NP_005344,XP_045705083.1,LOC123825589,LOW QUALITY PROTEIN: integrin alpha-D-like,ITGAD,integrin subunit alpha D,,
NP_005387,XP_045710440.1,LOC123828980,pancreatic lipase-related protein 2-like,PNLIPRP2,pancreatic lipase related protein 2 (gene/pseudogene),,
NP_005399,XP_045693049.1,LOC123817409,C-C motif chemokine 2-like,CCL13,C-C motif chemokine ligand 13,,
NP_005411,XP_045714030.1,LOC123831255,sulfotransferase 1E1-like isoform X1,SULT1E1,sulfotransferase family 1E member 1,,
NP_005518,XP_045682238.1,LOC123810504,heat shock 70 kDa protein 1-like,HSPA1L,heat shock protein family A (Hsp70) member 1 like,,
NP_005546,XP_045685252.1,LOC123812500,keratin%2C type II cytoskeletal 6A,KRT6B,keratin 6B,,
NP_005548,XP_045692136.1,LOC123816930,keratin%2C type I cytoskeletal 16,KRT16,keratin 16,,
NP_005558,XP_045691869.1,LOC123816735,galectin-3-binding protein,LGALS3BP,galectin 3 binding protein,,
NP_005566,XP_045704188.1,LOC123824824,leucyl-cystinyl aminopeptidase,LNPEP,leucyl and cystinyl aminopeptidase,,
NP_005599,XP_045710800.1,LOC123829299,protein tyrosine phosphatase receptor type C-associated protein isoform X2,PTPRCAP,protein tyrosine phosphatase receptor type C associated protein,,
NP_005614,XP_045692756.1,LOC123817233,C-C motif chemokine 8-like,CCL8,C-C motif chemokine ligand 8,,
NP_005657,XP_045716034.1,LOC123832422,complement factor H-related protein 2-like,CFHR2,complement factor H related 2,,
NP_005683,XP_045693736.1,LOC123817961,ATP-binding cassette sub-family F member 2,ABCF2-H2BK1,ABCF2-H2BK1 readthrough,,
NP_005870,XP_045713079.1,LOC123830649,E3 ubiquitin-protein ligase TRAIP,TRAIP,TRAF interacting protein,,
NP_005888,XP_045715844.1,LOC123832254,actin-binding protein IPP isoform X1,IPP,intracisternal A particle-promoted polypeptide,,
NP_005954,XP_045680131.1,LOC123809221,LOW QUALITY PROTEIN: myosin-1-like,MYH1,myosin heavy chain 1,,
NP_005971,XP_045690325.1,LOC123815780,protein S100-P,S100P,S100 calcium binding protein P,,
NP_005991,XP_045708688.1,LOC123828105,tubulin alpha-4A chain,TUBA4A,tubulin alpha 4a,,
NP_005994,XP_045675214.1,LOC123806199,cytochrome b-c1 complex subunit Rieske%2C mitochondrial,UQCRFS1,ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1,
NP_005995,XP_045714838.1,LOC123831735,cytochrome b-c1 complex subunit 6%2C mitochondrial,UQCRH,ubiquinol-cytochrome c reductase hinge protein,,
NP_006005,XP_045682780.1,LOC123810953,EKC/KEOPS complex subunit LAGE3-like,LAGE3,L antigen family member 3,,
NP_006017,XP_045706034.1,LOC123826145,histone H1.10,H1-10,H1.10 linker histone,,
NP_006073,XP_045685719.1,LOC123812863,tubulin alpha-1B chain isoform X2,TUBA1B,tubulin alpha 1b,,
NP_006084,XP_045714342.1,LOC123831504,LOW QUALITY PROTEIN: proteoglycan 3-like,PRG3,proteoglycan 3, pro eosinophil major basic protein 2,
NP_006135,XP_045695880.1,LOC123819538,granzyme A-like,GZMA,granzyme A,,
NP_006166,XP_045709720.1,LOC123828683,nebulin-related-anchoring protein isoform X6,NRAP,nebulin related anchoring protein,,
NP_006180,XP_045673993.1,LOC123805448,olfactory marker protein,OMP,olfactory marker protein,,
NP_006218,XP_045688734.1,LOC123814776,phospholipid transfer protein,PLTP,phospholipid transfer protein,,
NP_006224,XP_045702516.1,LOC123823638,DNA-directed RNA polymerase II subunit RPB9,POLR2I,RNA polymerase II subunit I,,
NP_006224,XP_045702515.1,LOC123823637,DNA-directed RNA polymerase II subunit RPB9,POLR2I,RNA polymerase II subunit I,,
NP_006285,XP_045717047.1,LOC123833068,cytochrome b-c1 complex subunit 7,UQCRB,ubiquinol-cytochrome c reductase binding protein,,
NP_006318,XP_045697826.1,LOC123820863,mitochondrial import inner membrane translocase subunit Tim23,TIMM23,translocase of inner mitochondrial membrane 23,,
NP_006362,XP_045712903.1,LOC123830568,cartilage-associated protein,CRTAP,cartilage associated protein,,
NP_006376,XP_045705613.1,LOC123825994,zinc finger protein 717-like,ZNF211,zinc finger protein 211,,
NP_006378,XP_045708996.1,LOC123828249,calcium homeostasis endoplasmic reticulum protein isoform X2,CHERP,calcium homeostasis endoplasmic reticulum protein,,
NP_006389,XP_045682018.1,LOC123810380,ubiquitin D-like,UBD,ubiquitin D,,
NP_006432,XP_045680864.1,LOC123809672,5-formyltetrahydrofolate cyclo-ligase-like isoform X1,MTHFS,methenyltetrahydrofolate synthetase,,
NP_006460,XP_045694672.1,LOC123818477,influenza virus NS1A-binding protein,IVNS1ABP,influenza virus NS1A binding protein,,
NP_006463,XP_045673025.1,LOC123804676,thioredoxin-interacting protein,TXNIP,thioredoxin interacting protein,,
NP_006506,XP_045712465.1,LOC123830377,histone-lysine N-methyltransferase SETMAR,SETMAR,SET domain and mariner transposase fusion gene,,
NP_006518,XP_045690662.1,LOC123815969,histone RNA hairpin-binding protein,SLBP,stem-loop histone mRNA binding protein,,
NP_006570,XP_045716439.1,LOC123832732,3-beta-hydroxysteroid-Delta(8)%2CDelta(7)-isomerase,EBP,EBP cholestenol delta-isomerase,,
NP_006604,XP_045680503.1,LOC123809392,GRB2-related adapter protein,GRAP,GRB2 related adaptor protein,,
NP_006653,XP_045705207.1,LOC123825656,helicase SRCAP,SRCAP,Snf2 related CREBBP activator protein,,
NP_006659,XP_045678880.1,LOC123808339,cholesterol 24-hydroxylase isoform X1,CYP46A1,cytochrome P450 family 46 subfamily A member 1,,
NP_006669,XP_045692934.1,LOC123817335,CMRF35-like molecule 6,CD300C,CD300c molecule,,
NP_006678,XP_045674542.1,LOC123805820,actin-like protein 7A,ACTL7A,actin like 7A,,
NP_006694,XP_045690728.1,LOC123816046,diphosphoinositol polyphosphate phosphohydrolase 1,NUDT3,nudix hydrolase 3,,
NP_006769,XP_045682171.1,LOC123810454,tripartite motif-containing protein 10,TRIM10,tripartite motif containing 10,,
NP_006789,XP_045690556.1,LOC123815894,UDP-glucuronosyltransferase 2A1 isoform X2,UGT2A1,UDP glucuronosyltransferase family 2 member A1 complex locus,,
NP_006812,XP_045679295.1,LOC123808582,LOW QUALITY PROTEIN: acyl-coenzyme A thioesterase 1-like,ACOT2,acyl-CoA thioesterase 2,,
NP_006821,XP_045686640.1,LOC123813621,cytochrome b-c1 complex subunit 10,UQCR11,ubiquinol-cytochrome c reductase, complex III subunit XI,
NP_008822,XP_045709115.1,LOC123828312,gamma-crystallin D,CRYGD,crystallin gamma D,,
NP_008850,XP_045706152.1,LOC123826215,serpin B3-like,SERPINB3,serpin family B member 3,,
NP_008925,XP_045703296.1,LOC123824219,butyrophilin subfamily 3 member A3-like isoform X3,BTN3A3,butyrophilin subfamily 3 member A3,,
NP_008925,XP_045672854.1,LOC123804536,LOW QUALITY PROTEIN: butyrophilin subfamily 3 member A3-like,BTN3A3,butyrophilin subfamily 3 member A3,,
NP_008961,XP_045703911.1,LOC123824670,tubulin polymerization-promoting protein,TPPP,tubulin polymerization promoting protein,,
NP_008962,XP_045708566.1,LOC123828056,heat shock factor 2-binding protein,HSF2BP,heat shock transcription factor 2 binding protein,,
NP_008974,XP_045685969.1,LOC123813025,KRR1 small subunit processome component homolog,KRR1,KRR1 small subunit processome component homolog,,
NP_008987,XP_045701098.1,LOC123822946,CLK4-associating serine/arginine rich protein,CLASRP,CLK4 associating serine/arginine rich protein,,
NP_009057,XP_045696694.1,LOC123820050,transitional endoplasmic reticulum ATPase isoform X1,VCP,valosin containing protein,,
NP_009059,XP_045675851.1,LOC123806639,immunoglobulin iota chain-like,VPREB1,V-set pre-B cell surrogate light chain 1,,
NP_009084,XP_045705201.1,LOC123825644,LOW QUALITY PROTEIN: zinc finger protein 420-like,ZNF208,zinc finger protein 208,,
NP_009088,XP_045673356.1,LOC123804956,zinc finger X-linked protein ZXDB isoform X1,ZXDB,zinc finger X-linked duplicated B,,
NP_009121,XP_045710089.1,LOC123828793,SEC23-interacting protein isoform X1,SEC23IP,SEC23 interacting protein,,
NP_009127,XP_045712370.1,LOC123830316,kallikrein-8-like isoform X2,KLK8,kallikrein related peptidase 8,,
NP_009129,XP_045677377.1,LOC123807503,pyridoxal phosphate homeostasis protein,PLPBP,pyridoxal phosphate binding protein,,
NP_009185,XP_045712131.1,LOC123830190,bifunctional polynucleotide phosphatase/kinase,PNKP,polynucleotide kinase 3'-phosphatase,,
NP_009209,XP_045680208.1,LOC123809255,gamma-aminobutyric acid receptor-associated protein,GABARAP,GABA type A receptor-associated protein,,
NP_009224,XP_045681884.1,LOC123810333,complement C4-A-like,C4A,complement C4A (Chido/Rodgers blood group),,
NP_015567,XP_045708293.1,LOC123827887,NKG2-A/NKG2-B type II integral membrane protein-like isoform X2,KLRC1,killer cell lectin like receptor C1,,
NP_031378,XP_045715118.1,LOC123831872,chymotrypsin-like elastase family member 3B,CELA3B,chymotrypsin like elastase 3B,,
NP_031401,XP_045714571.1,LOC123831605,TAR DNA-binding protein 43,TARDBP,TAR DNA binding protein,,
NP_036196,XP_045685434.1,LOC123812681,lens fiber major intrinsic protein,MIP,major intrinsic protein of lens fiber,,
NP_036212,XP_045711875.1,LOC123829995,pseudouridine-5'-phosphatase,PUDP,pseudouridine 5'-phosphatase,,
NP_036238,XP_045674611.1,LOC123805857,ADP-ribosylation factor-like protein 2-binding protein,ARL2BP,ADP ribosylation factor like GTPase 2 binding protein,,
NP_036252,XP_045698886.1,LOC123821519,CD2-associated protein,CD2AP,CD2 associated protein,,
NP_036260,XP_045691468.1,LOC123816509,calcium-activated chloride channel regulator 4-like,CLCA4,chloride channel accessory 4,,
NP_036316,XP_045696457.1,LOC123819905,forkhead box protein D4-like 1,FOXD4L1,forkhead box D4 like 1,,
NP_036366,XP_045688295.1,LOC123814492,RING1 and YY1-binding protein,RYBP,RING1 and YY1 binding protein,,
NP_036380,XP_045704876.1,LOC123825495,LOW QUALITY PROTEIN: selenide%2C water dikinase 2-like,SEPHS2,selenophosphate synthetase 2,,
NP_036406,XP_045716374.1,LOC123832672,huntingtin-interacting protein M-like,H2AP,H2A.P histone,,
NP_036406,XP_045716384.1,LOC123832687,huntingtin-interacting protein M,H2AP,H2A.P histone,,
NP_036465,XP_045715695.1,LOC123832183,C-Myc-binding protein,MYCBP,MYC binding protein,,
NP_036495,XP_045702119.1,LOC123823434,olfactory receptor 1N1,OR1N1,olfactory receptor family 1 subfamily N member 1,,
NP_036496,XP_045701828.1,LOC123823295,LOW QUALITY PROTEIN: olfactory receptor 1Q1-like,OR1Q1,olfactory receptor family 1 subfamily Q member 1,,
NP_036497,XP_045713559.1,LOC123830982,olfactory receptor 2A5-like,OR2A5,olfactory receptor family 2 subfamily A member 5,,
NP_036501,XP_045713576.1,LOC123830992,olfactory receptor-like protein OLF3,OR2F1,olfactory receptor family 2 subfamily F member 1,,
NP_036519,XP_045715331.1,LOC123831986,protein-arginine deiminase type-4-like,PADI4,peptidyl arginine deiminase 4,,
NP_036544,XP_045683773.1,LOC123811563,histone H2A.V,H2AZ2,H2A.Z variant histone 2,,
NP_037392,XP_045693424.1,LOC123817661,SAP30-binding protein,SAP30BP,SAP30 binding protein,,
NP_037394,XP_045703129.1,LOC123824053,E3 ubiquitin-protein ligase MYLIP,MYLIP,myosin regulatory light chain interacting protein,,
NP_037506,XP_045712567.1,LOC123830432,programmed cell death 6-interacting protein isoform X2,PDCD6IP,programmed cell death 6 interacting protein,,
NP_037518,XP_045673110.1,LOC123804729,calcium-binding mitochondrial carrier protein SCaMC-1,SLC25A24,solute carrier family 25 member 24,,
NP_037519,XP_045682805.1,LOC123810973,cytochrome b-c1 complex subunit 9,UQCR10,ubiquinol-cytochrome c reductase, complex III subunit X,
NP_039228,XP_045709380.1,LOC123828447,olfactory receptor 10H1,OR10H1,olfactory receptor family 10 subfamily H member 1,,
NP_054777,XP_045690133.1,LOC123815698,transmembrane protease serine 11E-like,TMPRSS11E,transmembrane serine protease 11E,,
NP_055023,XP_045676407.1,LOC123806966,dentin sialophosphoprotein,DSPP,dentin sialophosphoprotein,,
NP_055042,XP_045682801.1,LOC123810967,solute carrier family 5 member 4,SLC5A4,solute carrier family 5 member 4,,
NP_055071,XP_045709116.1,LOC123828315,LOW QUALITY PROTEIN: N-acetyllactosaminide beta-1%2C3-N-acetylglucosaminyltransferase 3-like,B3GNT3,UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3,
NP_055102,XP_045675488.1,LOC123806406,nodal modulator 1,NOMO1,NODAL modulator 1,,
NP_055217,XP_045684380.1,LOC123811889,cytochrome b-c1 complex subunit 8 isoform X1,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII,,
NP_055227,XP_045694505.1,LOC123818394,calcyclin-binding protein,CACYBP,calcyclin binding protein,,
NP_055280,XP_045703651.1,LOC123824517,sulfotransferase 1B1,SULT1B1,sulfotransferase family 1B member 1,,
NP_055394,XP_045697198.1,LOC123820488,zinc transporter ZIP2-like isoform X1,SLC39A2,solute carrier family 39 member 2,,
NP_055414,XP_045689093.1,LOC123814972,melanoma-associated antigen D2,MAGED2,MAGE family member D2,,
NP_055443,XP_045699338.1,LOC123821699,MAD2L1-binding protein,MAD2L1BP,MAD2L1 binding protein,,
NP_055508,XP_045707146.1,LOC123826979,endothelin-converting enzyme 2 isoform X5,EEF1AKMT4-ECE2,EEF1AKMT4-ECE2 readthrough,,
NP_055598,XP_045679113.1,LOC123808488,rho GTPase-activating protein 11A-like isoform X2,ARHGAP11A,Rho GTPase activating protein 11A,,
NP_055753,XP_045697474.1,LOC123820645,MLX-interacting protein,MLXIP,MLX interacting protein,,
